院校ID,院校名称,地区,类型,院校标签,行业标签,所属部委,专业组ID,专业组名称,专业组类别,批次,选考科目,专业ID,专业名称,2026计划数,2026最低分,2026最低位次,2026平均分,2026最高分,2026最高位次,2025计划数,2025最低分,2025最低位次,2025平均分,2025最高分,2025最高位次,2024计划数,2024最低分,2024最低位次,2024平均分,2024最高分,2024最高位次,2023计划数,2023最低分,2023最低位次,2023平均分,2023最高分,2023最高位次,专业组标签,专业组备注,专业备注
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYTQCw99,专业组99,物理组,提前本科批C段,化学,ZGMYHKFXYTQCw9901,飞行技术（运输机驾驶）,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,飞行技术,飞行技术,（东航送培，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，合格考生再依据考生志愿按投档成绩从高到低顺序录取，本校自招和东航送培之间不相互调剂）6500元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYTQCw99,专业组99,物理组,提前本科批C段,化学,ZGMYHKFXYTQCw9902,飞行技术（运输机驾驶）,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,飞行技术,飞行技术,（本校自招，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，合格考生再依据考生志愿按投档成绩从高到低顺序录取，本校自招和东航送培之间不相互调剂）6500元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0101,应急管理,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0102,交通管理（机场运行管理）,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,无色盲色弱；（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0103,物流工程（航空物流）,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,无色盲色弱；（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0104,应用心理学,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（校本部）6500元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0105,英语,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,只招英语语种；（成都天府校区）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0106,公共事业管理,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0107,市场营销,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0108,工商管理,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（校本部）4800元/年
5110,中国民用航空飞行学院,四川德阳市,理工类,本科、公办,航空类,交通运输部（中国民用航空局）,ZGMYHKFXYPBw01,专业组01,物理组,本科批B段,不限,ZGMYHKFXYPBw0109,翻译,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,只招英语语种；（成都天府校区）4800元/年
